DateApproved,InstancePathId,Device Description,UserContactinfo
3/11/2025,USBSTOR\DISK&VEN_WD&PROD_MY_PASSPORT_0837&REV_1072\5758483145433438354B354B&0,WD My Passport Ultra,Tungsten66
3/11/2025,SCSI\Disk&Ven_Seagate&Prod_BUP_Slim_BK\6&2a679dbb&0&000000,Seagate Backup Plus,Tungsten66
